"threshold","tpr","fpr","model"
0.612472240294509,0.85589519650655,0.0548523206751055,"Model 1: Full main-effects"
0.61284300488332,0.85589519650655,0.0506329113924051,"Model 1: Full main-effects"
0.614547261002526,0.851528384279476,0.0506329113924051,"Model 1: Full main-effects"
0.623740896598778,0.847161572052402,0.0506329113924051,"Model 1: Full main-effects"
0.62724847171368,0.842794759825327,0.0506329113924051,"Model 1: Full main-effects"
0.633072817038911,0.838427947598253,0.0506329113924051,"Model 1: Full main-effects"
0.636514304333315,0.834061135371179,0.0506329113924051,"Model 1: Full main-effects"
0.648847980419989,0.829694323144105,0.0506329113924051,"Model 1: Full main-effects"
0.651203666986885,0.825327510917031,0.0506329113924051,"Model 1: Full main-effects"
0.657781624278022,0.820960698689956,0.0506329113924051,"Model 1: Full main-effects"
0.667294689394296,0.820960698689956,0.0464135021097046,"Model 1: Full main-effects"
0.699605515783195,0.820960698689956,0.0421940928270042,"Model 1: Full main-effects"
0.702322095969095,0.816593886462882,0.0421940928270042,"Model 1: Full main-effects"
0.702420916089442,0.816593886462882,0.0379746835443038,"Model 1: Full main-effects"
0.703961419020476,0.812227074235808,0.0379746835443038,"Model 1: Full main-effects"
0.706748048393726,0.807860262008734,0.0379746835443038,"Model 1: Full main-effects"
0.718015739177251,0.803493449781659,0.0379746835443038,"Model 1: Full main-effects"
0.721021014421509,0.799126637554585,0.0379746835443038,"Model 1: Full main-effects"
0.726734261820602,0.799126637554585,0.0337552742616034,"Model 1: Full main-effects"
0.729316459161807,0.799126637554585,0.029535864978903,"Model 1: Full main-effects"
0.729657277957445,0.794759825327511,0.029535864978903,"Model 1: Full main-effects"
0.753101642663944,0.794759825327511,0.0253164556962025,"Model 1: Full main-effects"
0.760999049841787,0.790393013100437,0.0253164556962025,"Model 1: Full main-effects"
0.769459488689734,0.786026200873362,0.0253164556962025,"Model 1: Full main-effects"
0.772851884945513,0.781659388646288,0.0253164556962025,"Model 1: Full main-effects"
0.779229807599273,0.777292576419214,0.0253164556962025,"Model 1: Full main-effects"
0.780706007518935,0.77292576419214,0.0253164556962025,"Model 1: Full main-effects"
0.787021051091045,0.768558951965066,0.0253164556962025,"Model 1: Full main-effects"
0.789387963759584,0.768558951965066,0.0210970464135021,"Model 1: Full main-effects"
0.79025651983563,0.764192139737991,0.0210970464135021,"Model 1: Full main-effects"
0.793714547029946,0.764192139737991,0.0168776371308017,"Model 1: Full main-effects"
0.796163029891872,0.764192139737991,0.0126582278481013,"Model 1: Full main-effects"
0.797437912393736,0.759825327510917,0.0126582278481013,"Model 1: Full main-effects"
0.800551653337667,0.755458515283843,0.0126582278481013,"Model 1: Full main-effects"
0.809964862982462,0.751091703056769,0.0126582278481013,"Model 1: Full main-effects"
0.813491044408186,0.751091703056769,0.00843881856540084,"Model 1: Full main-effects"
0.816593761090335,0.751091703056769,0.00421940928270042,"Model 1: Full main-effects"
0.818168414809758,0.746724890829694,0.00421940928270042,"Model 1: Full main-effects"
0.821545051664922,0.746724890829694,0,"Model 1: Full main-effects"
0.834542628534584,0.74235807860262,0,"Model 1: Full main-effects"
0.841035596216518,0.737991266375546,0,"Model 1: Full main-effects"
0.844620094633352,0.733624454148472,0,"Model 1: Full main-effects"
0.857323412008531,0.729257641921397,0,"Model 1: Full main-effects"
0.860234916304449,0.724890829694323,0,"Model 1: Full main-effects"
0.869243264500764,0.720524017467249,0,"Model 1: Full main-effects"
0.875381359202741,0.716157205240175,0,"Model 1: Full main-effects"
0.880601546313013,0.7117903930131,0,"Model 1: Full main-effects"
0.892817079855962,0.707423580786026,0,"Model 1: Full main-effects"
0.896922886218098,0.703056768558952,0,"Model 1: Full main-effects"
0.901987697818617,0.698689956331878,0,"Model 1: Full main-effects"
0.902441975978394,0.694323144104803,0,"Model 1: Full main-effects"
0.904451904215318,0.689956331877729,0,"Model 1: Full main-effects"
0.910987025508674,0.685589519650655,0,"Model 1: Full main-effects"
0.926003854941317,0.681222707423581,0,"Model 1: Full main-effects"
0.930873977410253,0.676855895196507,0,"Model 1: Full main-effects"
0.932996841870094,0.672489082969432,0,"Model 1: Full main-effects"
0.937597709562584,0.668122270742358,0,"Model 1: Full main-effects"
0.94767889379959,0.663755458515284,0,"Model 1: Full main-effects"
0.948000153749308,0.65938864628821,0,"Model 1: Full main-effects"
0.948325421164609,0.655021834061135,0,"Model 1: Full main-effects"
0.950898262067867,0.650655021834061,0,"Model 1: Full main-effects"
0.952416902973391,0.646288209606987,0,"Model 1: Full main-effects"
0.955994960426538,0.641921397379913,0,"Model 1: Full main-effects"
0.973795222267594,0.637554585152838,0,"Model 1: Full main-effects"
0.975263467317786,0.633187772925764,0,"Model 1: Full main-effects"
0.975801817332427,0.62882096069869,0,"Model 1: Full main-effects"
0.976939703611416,0.624454148471616,0,"Model 1: Full main-effects"
0.987687507521166,0.620087336244541,0,"Model 1: Full main-effects"
0.990672140576937,0.615720524017467,0,"Model 1: Full main-effects"
0.991116002832229,0.611353711790393,0,"Model 1: Full main-effects"
0.99170348100142,0.606986899563319,0,"Model 1: Full main-effects"
0.99503306566471,0.602620087336245,0,"Model 1: Full main-effects"
0.999913991603222,0.59825327510917,0,"Model 1: Full main-effects"
0.999931933046398,0.593886462882096,0,"Model 1: Full main-effects"
0.999947352101832,0.589519650655022,0,"Model 1: Full main-effects"
0.999948860542863,0.585152838427948,0,"Model 1: Full main-effects"
0.999954637843939,0.580786026200873,0,"Model 1: Full main-effects"
0.999955517111246,0.576419213973799,0,"Model 1: Full main-effects"
0.999965715291064,0.572052401746725,0,"Model 1: Full main-effects"
0.999974595861108,0.567685589519651,0,"Model 1: Full main-effects"
0.999981805812178,0.563318777292576,0,"Model 1: Full main-effects"
0.999989793537671,0.558951965065502,0,"Model 1: Full main-effects"
0.999990452446074,0.554585152838428,0,"Model 1: Full main-effects"
0.999990729814185,0.550218340611354,0,"Model 1: Full main-effects"
0.999990875809743,0.54585152838428,0,"Model 1: Full main-effects"
0.999991961987625,0.541484716157205,0,"Model 1: Full main-effects"
0.999993158961257,0.537117903930131,0,"Model 1: Full main-effects"
0.999993243438876,0.532751091703057,0,"Model 1: Full main-effects"
0.999993657099852,0.528384279475983,0,"Model 1: Full main-effects"
0.999993817394866,0.524017467248908,0,"Model 1: Full main-effects"
0.999994258714071,0.519650655021834,0,"Model 1: Full main-effects"
0.999994419708598,0.51528384279476,0,"Model 1: Full main-effects"
0.999995343545202,0.510917030567686,0,"Model 1: Full main-effects"
0.999995396906569,0.506550218340611,0,"Model 1: Full main-effects"
0.999995501787157,0.502183406113537,0,"Model 1: Full main-effects"
0.999995661726474,0.497816593886463,0,"Model 1: Full main-effects"
0.99999579654039,0.493449781659389,0,"Model 1: Full main-effects"
0.999995858808022,0.489082969432314,0,"Model 1: Full main-effects"
